query,ground_truth
"The following given embeddings correspond to ""standing"": [[-15.9717045, -15.878621, -0.96401054]], and the following given embeddings correspond to ""stair up"": [[7.8583736, 0.07811177, -1.5329976]]; classify the embedding [-15.012531,-16.679134,1.1174257] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Standing
"The following given embeddings correspond to ""standing"": [[-3.7576067, -9.41035, 7.6057386]], and the following given embeddings correspond to ""stair up"": [[5.128075, 4.2916503, -4.607848]]; classify the embedding [-18.099188,7.2481294,-1.7470031] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Standing
"The following given embeddings correspond to ""standing"": [[-12.513758, -17.19655, 1.7423397]], and the following given embeddings correspond to ""stair up"": [[18.78794, -1.4831775, -4.3329215]]; classify the embedding [-14.344084,-15.410754,0.7905166] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Standing
"The following given embeddings correspond to ""standing"": [[-15.933696, -15.741813, 1.8337858]], and the following given embeddings correspond to ""stair up"": [[11.868331, -3.8525243, 0.6570398]]; classify the embedding [-15.2465925,-16.415268,1.3289503] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Standing
"The following given embeddings correspond to ""standing"": [[-12.819477, -16.682074, 1.8342836]], and the following given embeddings correspond to ""stair up"": [[14.673911, 2.6923718, 3.8922546]]; classify the embedding [-12.077192,-17.744848,-0.17148362] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Standing
"The following given embeddings correspond to ""standing"": [[-21.191793, 1.3573496, -4.1702437]], and the following given embeddings correspond to ""stair up"": [[3.440768, 9.60944, -2.5115368]]; classify the embedding [-0.8060319,-9.902039,9.802637] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Standing
"The following given embeddings correspond to ""standing"": [[-2.71811, -5.109846, 6.743252]], and the following given embeddings correspond to ""stair up"": [[7.424555, 13.5688715, 2.3579524]]; classify the embedding [-15.933696,-15.741813,1.8337858] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Standing
"The following given embeddings correspond to ""standing"": [[-2.192041, -10.162603, 7.7857676]], and the following given embeddings correspond to ""stair up"": [[3.1110346, -5.4715304, -3.6324499]]; classify the embedding [-15.582012,-16.265482,0.35241866] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Standing
"The following given embeddings correspond to ""standing"": [[-21.191793, 1.3573496, -4.1702437]], and the following given embeddings correspond to ""stair up"": [[14.673911, 2.6923718, 3.8922546]]; classify the embedding [-9.718163,9.26373,3.582328] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Standing
"The following given embeddings correspond to ""standing"": [[-6.4528956, 11.947451, -2.257638]], and the following given embeddings correspond to ""stair up"": [[11.335346, 0.93563896, 1.5537589]]; classify the embedding [-14.554367,-16.1625,1.7774153] as either ""standing"" or ""stair up"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Standing
