query,ground_truth
"The following given embeddings correspond to ""walking upstairs"": [[-26.99212, 7.3564434], [-23.918737, 12.886848], [-18.801952, 13.567216]], and the following given embeddings correspond to ""standing"": [[-5.321734, -8.374708], [-7.868472, -22.267239], [-4.8480935, -19.351532]]; classify the embedding [-23.880686,11.67885] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is manhattan distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[-11.703899, 13.600154], [-25.104355, 11.106242], [-16.647497, 7.66493]], and the following given embeddings correspond to ""standing"": [[-4.540945, -13.346345], [-9.059019, -25.79015], [-6.167612, -20.587278]]; classify the embedding [-26.99212,7.3564434] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is manhattan distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[-18.521212, 16.51115], [-13.817916, 15.620053], [-20.20876, 5.304723]], and the following given embeddings correspond to ""standing"": [[4.767576, -18.226492], [-9.725307, -10.773289], [4.4955587, -27.268408]]; classify the embedding [-11.019561,10.882301] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is manhattan distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[-20.17554, 7.178261], [-23.918737, 12.886848], [-1.6527507, 22.14561]], and the following given embeddings correspond to ""standing"": [[2.6050432, -21.64601], [-12.163771, -10.816486], [-1.0285378, -29.839577]]; classify the embedding [-17.649618,6.7299747] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is manhattan distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[-11.27695, 9.439257], [-20.20876, 5.304723], [-25.210358, 7.992878]], and the following given embeddings correspond to ""standing"": [[4.686016, -30.14473], [-12.700918, -17.05095], [-6.9715166, -11.976806]]; classify the embedding [-16.647497,7.66493] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is manhattan distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[-20.20876, 5.304723], [-9.903596, 26.033176], [-19.310556, 16.019463]], and the following given embeddings correspond to ""standing"": [[-0.64759326, -11.936718], [5.7707844, -19.403368], [2.6919582, -30.555603]]; classify the embedding [-10.573148,14.615795] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is manhattan distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[-26.925472, 10.948633], [-1.6527507, 22.14561], [-20.20876, 5.304723]], and the following given embeddings correspond to ""standing"": [[0.09049499, -26.603556], [-5.2038627, -21.720722], [-4.8813534, -13.794277]]; classify the embedding [-23.918737,12.886848] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is manhattan distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[-11.703899, 13.600154], [-11.019561, 10.882301], [-19.453993, 4.76599]], and the following given embeddings correspond to ""standing"": [[2.1271844, -27.017937], [-9.423665, -5.431859], [-7.2135916, -26.8858]]; classify the embedding [-20.20876,5.304723] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is manhattan distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[-11.27695, 9.439257], [-11.019561, 10.882301], [-16.341951, 16.949923]], and the following given embeddings correspond to ""standing"": [[-8.137624, -10.475516], [2.6919582, -30.555603], [-3.1004782, -25.6334]]; classify the embedding [-21.540411,6.1713576] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is manhattan distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[-21.103573, 14.358908], [-25.532173, 11.909289], [-20.20876, 5.304723]], and the following given embeddings correspond to ""standing"": [[-8.583038, -20.128769], [-8.767074, -14.092983], [-6.9715166, -11.976806]]; classify the embedding [-9.938932,9.697947] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is manhattan distance. Answer in one word.",Walking upstairs
