query,ground_truth
"The following given embeddings correspond to ""walking upstairs"": [[-26.99212, 7.3564434]], and the following given embeddings correspond to ""standing"": [[-5.321734, -8.374708]]; classify the embedding [-23.880686,11.67885] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[-11.703899, 13.600154]], and the following given embeddings correspond to ""standing"": [[-4.540945, -13.346345]]; classify the embedding [-26.99212,7.3564434] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[-18.521212, 16.51115]], and the following given embeddings correspond to ""standing"": [[4.767576, -18.226492]]; classify the embedding [-11.019561,10.882301] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[-20.17554, 7.178261]], and the following given embeddings correspond to ""standing"": [[2.6050432, -21.64601]]; classify the embedding [-17.649618,6.7299747] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[-11.27695, 9.439257]], and the following given embeddings correspond to ""standing"": [[4.686016, -30.14473]]; classify the embedding [-16.647497,7.66493] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[-20.20876, 5.304723]], and the following given embeddings correspond to ""standing"": [[-0.64759326, -11.936718]]; classify the embedding [-10.573148,14.615795] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[-26.925472, 10.948633]], and the following given embeddings correspond to ""standing"": [[0.09049499, -26.603556]]; classify the embedding [-23.918737,12.886848] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[-11.703899, 13.600154]], and the following given embeddings correspond to ""standing"": [[2.1271844, -27.017937]]; classify the embedding [-20.20876,5.304723] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[-11.27695, 9.439257]], and the following given embeddings correspond to ""standing"": [[-8.137624, -10.475516]]; classify the embedding [-21.540411,6.1713576] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[-21.103573, 14.358908]], and the following given embeddings correspond to ""standing"": [[-8.583038, -20.128769]]; classify the embedding [-9.938932,9.697947] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[-1.6527507, 22.14561]], and the following given embeddings correspond to ""standing"": [[-1.0285378, -29.839577]]; classify the embedding [-25.104355,11.106242] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[-25.532173, 11.909289]], and the following given embeddings correspond to ""standing"": [[-6.899336, -21.73333]]; classify the embedding [-22.562931,5.157091] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[-9.903596, 26.033176]], and the following given embeddings correspond to ""standing"": [[2.1271844, -27.017937]]; classify the embedding [-18.521212,16.51115] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[-12.224311, 10.59824]], and the following given embeddings correspond to ""standing"": [[0.7684486, -17.91203]]; classify the embedding [-11.27695,9.439257] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[-25.468723, 6.167914]], and the following given embeddings correspond to ""standing"": [[0.16642138, -22.013525]]; classify the embedding [-25.179623,5.2739477] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[-11.703899, 13.600154]], and the following given embeddings correspond to ""standing"": [[-7.167243, -23.013578]]; classify the embedding [-23.778671,5.86172] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[-10.573148, 14.615795]], and the following given embeddings correspond to ""standing"": [[3.292781, -21.060204]]; classify the embedding [-11.703899,13.600154] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
"The following given embeddings correspond to ""walking upstairs"": [[-26.58731, 11.489656]], and the following given embeddings correspond to ""standing"": [[3.056152, -24.06641]]; classify the embedding [-27.174917,7.922465] as either ""walking upstairs"" or ""standing"", considering the minimum distance to the example embeddings, provided that the distance metric chosen is euclidean distance. Answer in one word.",Walking upstairs
